source_key,title,author,license,source_page,direct_file_url,notes
tokyo_tower_blue_sky,Tokyo Tower in blue sky,Wei-Te Wong / Flickr,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:The_edge_of_Tokyo_tower_in_blue_sky_(458357072).jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/The_edge_of_Tokyo_tower_in_blue_sky_%28458357072%29.jpg,适合首页明亮东京城市感。
hida_takayama,Hida Takayama old town streets,"Richard, enjoy my life! / Flickr",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Hida_Takayama_old_town_streets_(48519369602).jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Hida_Takayama_old_town_streets_%2848519369602%29.jpg,适合飞驒高山古街、文化线卡片或详情图。
hakuba_ski,Hakuba ski resort,魏正豪 / Flickr,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Hakuba_ski_resort_(51845936156).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Hakuba_ski_resort_%2851845936156%29.jpg,适合滑雪主视觉、雪场卡片。
akihabara,Shops on Sotokanda street in Akihabara,Wilfredor / Wikimedia Commons,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Shops_on_Sotokanda_street_in_Akihabara,_Tokyo,_Japan_-_September_2015.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b0/Shops_on_Sotokanda_street_in_Akihabara%2C_Tokyo%2C_Japan_-_September_2015.jpg,适合动漫/流行文化线路，街区而非IP版权图。
naoshima_benesse,"Benesse House Museum, Naoshima",663highland / Wikimedia Commons,CC BY-SA 3.0 or CC BY 2.5 or GFDL,https://commons.wikimedia.org/wiki/File:150505_Benesse_House_Museum_Naoshima_Kagawa_pref_Japan01b3s5.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/150505_Benesse_House_Museum_Naoshima_Kagawa_pref_Japan01b3s5.jpg,适合直岛/濑户内艺术岛，建筑图需注意艺术品和建筑版权风险。
kawaguchiko_momiji_fuji,Kawaguchiko Momiji Tunnel and Fuji,Fabimaru / Wikimedia Commons,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kawaguchiko_Momiji_Tunnel_Fuji.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Kawaguchiko_Momiji_Tunnel_Fuji.jpg,适合富士红叶、河口湖。
shirakawago,Historic Village of Shirakawa-go,Jakub Hałun,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Historic_Village_of_Shirakawa-go_(2016)_-_img_01.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Historic_Village_of_Shirakawa-go_%282016%29_-_img_01.jpg,适合白川乡视觉锚点。
kanazawa_gold_leaf,Kanazawa Gold Factory,KimonBerlin / Wikimedia Commons,CC BY 2.0 DE,https://commons.wikimedia.org/wiki/File:Kanazawa_Gold_Factory.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Kanazawa_Gold_Factory.jpg,适合金泽工艺/金箔体验。
kyoto_tea,Tea ceremony in Kyoto,Bryan... / Flickr,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Tea_ceremony_in_Kyoto.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Tea_ceremony_in_Kyoto.jpg,适合京都茶道、家庭/学生文化体验。
onsen_macaque,Onsen Macaque,Asteiner / Wikimedia Commons,CC BY 3.0 or GFDL,https://commons.wikimedia.org/wiki/File:Onsen_Macaque.JPG,https://upload.wikimedia.org/wikipedia/commons/0/0c/Onsen_Macaque.JPG,适合地狱谷雪猴主图。
shibu_onsen,Shibu Onsen town,663highland / Wikimedia Commons,CC BY 2.5 or CC BY-SA 3.0 or GFDL,https://commons.wikimedia.org/wiki/File:Shibu-onsen01s5s3200.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Shibu-onsen01s5s3200.jpg,适合温泉小镇气氛。
tokyo_tower_night_cc0,Tokyo Tower and buildings at night,producebys / Pixabay via Wikimedia Commons,CC0 1.0,"https://commons.wikimedia.org/wiki/File:Tokyo_Tower_and_buildings_at_night_-_Cityscape_in_Minato-ku,_Tokyo_(2017-06_by_producebys_@Pixabay_2369054).jpg",https://upload.wikimedia.org/wikipedia/commons/2/20/Tokyo_Tower_and_buildings_at_night_-_Cityscape_in_Minato-ku%2C_Tokyo_%282017-06_by_producebys_%40Pixabay_2369054%29.jpg,适合东京夜景/夜间数字艺术替代图。
izumo_taisha,Haiden of Izumo-taisha,Saigen Jiro / Wikimedia Commons,CC0 1.0,https://commons.wikimedia.org/wiki/File:Haiden_of_Izumo-taisha-1.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1c/Haiden_of_Izumo-taisha-1.JPG,适合出云大社/神话线。
matsue_castle,Matsue Castle,663highland / Wikimedia Commons,CC BY-SA 3.0 or CC BY 2.5 or GFDL,https://commons.wikimedia.org/wiki/File:Matsue_castle01bs4592.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Matsue_castle01bs4592.jpg,适合松江文化日。
adachi_garden,Gardens of the Adachi Museum of Art,Ignis / Wikimedia Commons,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:The_gardens_of_the_Adachi_Museum_of_Art_20170127.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/The_gardens_of_the_Adachi_Museum_of_Art_20170127.jpg,适合足立美术馆/庭园审美。
harajuku_takeshita,"Takeshita Street, Harajuku",Joe Mabel / Flickr,CC BY-SA 2.0 or CC BY-SA 3.0 or GFDL,https://commons.wikimedia.org/wiki/File:Harajuku_-_Takeshita_Street_03_(15554757687).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Harajuku_-_Takeshita_Street_03_%2815554757687%29.jpg,适合原宿、变装采购、年轻文化。
